geullint-rule-seed-v1
# Reviewed lexical misspellings for the curated alpha core.
spelling.lexical	설겆이	설거지	high	default
spelling.lexical	승락	승낙	high	default
spelling.lexical	귀뜸	귀띔	high	default
spelling.lexical	넓직하다	널찍하다	high	default
spelling.lexical	째째하다	쩨쩨하다	high	default
spelling.lexical	숫가락	숟가락	high	default
spelling.lexical	뒷굼치	뒤꿈치	high	default
spelling.lexical	구렛나루	구레나룻	high	default
spelling.lexical	윗어른	웃어른	high	default
spelling.lexical	핼쓱하다	해쓱하다	high	default
spelling.lexical	움추리다	움츠리다	high	default
spelling.lexical	애닯다	애달프다	high	default
spelling.lexical	일찌기	일찍이	high	default
spelling.lexical	닥달하다	닦달하다	high	default
spelling.lexical	뒤치닥거리	뒤치다꺼리	high	default
spelling.lexical	허구헌날	허구한 날	high	default
spelling.lexical	홀홀단신	혈혈단신	high	default
spelling.lexical	괴변	궤변	high	default
spelling.lexical	얼만큼	얼마큼	high	default
spelling.lexical	오손도손	오순도순	high	default
spelling.lexical	우겨넣다	욱여넣다	high	default
spelling.lexical	치뤘다	치렀다	high	default
spelling.lexical	담궜다	담갔다	high	default
spelling.lexical	잠궜다	잠갔다	high	default
spelling.lexical	꺼림직하다	꺼림칙하다	high	default
spelling.lexical	객적다	객쩍다	high	default
spelling.lexical	실증이 나다	싫증이 나다	high	default
spelling.lexical	건들이다	건드리다	high	default
spelling.lexical	드려다보다	들여다보다	high	default
spelling.lexical	내노라하다	내로라하다	high	default
spelling.lexical	풋나기	풋내기	high	default
spelling.lexical	오무리다	오므리다	high	default
spelling.lexical	웅큼	움큼	high	default
spelling.lexical	으례	으레	high	default
spelling.lexical	댓숲	대숲	high	default
spelling.lexical	껍질채	껍질째	high	default
spelling.lexical	요세	요새	high	default
spelling.lexical	미류나무	미루나무	high	default
spelling.lexical	맛배기	맛보기	high	default
spelling.lexical	납짝하다	납작하다	high	default
spelling.lexical	넙적하다	넓적하다	high	default
spelling.lexical	짧막하다	짤막하다	high	default
